City Hotel,2018,1275907,488760
Resort Hotel,2018,2272554,848223
City Hotel,2019,6762532,2603554
hotel,2019,426,58
Resort Hotel,2019,5450503,2093766
City Hotel,2020,5823587,2194535
Resort Hotel,2020,4518946,1747143
