2018,Double Room,9076,3478236
2018,Single Room,2994,627108
2018,Family Room,841,532358
2018,Triple Room,392,241775
2018,Quarter Room,8,5967
2019,Double Room,30014,11127123
2019,Family Room,3960,2321660
2019,Single Room,8939,1964345
2019,Triple Room,2828,1479096
2019,Quarter Room,34,18614
2020,Double Room,20686,9029465
2020,Family Room,3200,2388869
2020,Triple Room,2297,1497034
2020,Single Room,5488,1356969
2020,Quarter Room,20,11874
